# code,annotations_organism,cog_taxid,no rank,superkingdom,phylum,class,order,family,genus,species,taxid,clade,strain,subspecies,species group,subphylum,suborder,subclass,isolate,subfamily,forma specialis,serotype,serogroup,tribe
Bucaph,Buchnera aphidicola str. APS (Acyrthosiphon pisum),107806,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,107806,,Buchnera aphidicola str. APS (Acyrthosiphon pisum),,,,,,,,Buchnera aphidicola (Acyrthosiphon pisum),,,
Burxen,Paraburkholderia xenovorans LB400,266265,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia xenovorans,266265,,Paraburkholderia xenovorans LB400,,,,,,,,,,,
Butpro,Butyrivibrio proteoclasticus B316,515622,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio proteoclasticus,515622,Terrabacteria group,Butyrivibrio proteoclasticus B316,,,,,,,,,,,
Calaer,Caldilinea aerophila DSM 14535 = NBRC 104270,926550,cellular organisms,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea,Caldilinea aerophila,926550,Terrabacteria group,Caldilinea aerophila DSM 14535 = NBRC 104270,,,,,,,,,,,
Calexi,Caldisericum exile AZM16c01,511051,cellular organisms,Bacteria,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,Caldisericum exile,511051,Caldiserica/Cryosericota group,Caldisericum exile AZM16c01,,,,,,,,,,,
Callag,Caldisphaera lagunensis DSM 15908,1056495,cellular organisms,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,Caldisphaera lagunensis,1056495,TACK group,Caldisphaera lagunensis DSM 15908,,,,,,,,,,,
Calmaq,Caldivirga maquilingensis IC-167,397948,cellular organisms,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga,Caldivirga maquilingensis,397948,TACK group,Caldivirga maquilingensis IC-167,,,,,,,,,,,
Calnit,Calditerrivibrio nitroreducens DSM 19672,768670,cellular organisms,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Calditerrivibrio,Calditerrivibrio nitroreducens,768670,,Calditerrivibrio nitroreducens DSM 19672,,,,,,,,,,,
Calpcc,Calothrix sp. PCC 7507,99598,unclassified Calothrix,Bacteria,Cyanobacteria,,Nostocales,Calotrichaceae,Calothrix,Calothrix sp. PCC 7507,99598,Cyanobacteria/Melainabacteria group,,,,,,,,,,,,
Calsac,Caldicellulosiruptor saccharolyticus DSM 8903,351627,cellular organisms,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,Caldicellulosiruptor saccharolyticus,351627,Terrabacteria group,Caldicellulosiruptor saccharolyticus DSM 8903,,,,,,,,,,,
Calsub,Candidatus Caldiarchaeum subterraneum,311458,Thaumarchaeota incertae sedis,Archaea,Thaumarchaeota,,,,Candidatus Caldarchaeum,Candidatus Caldarchaeum subterraneum,311458,TACK group,,,,,,,,,,,,
Camjej,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,192222,cellular organisms,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,192222,,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,Campylobacter jejuni subsp. jejuni,,delta/epsilon subdivisions,,,,,,,,
Capcan,Capnocytophaga canimorsus Cc5,860228,cellular organisms,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga canimorsus,860228,Bacteroidetes/Chlorobi group,Capnocytophaga canimorsus Cc5,,,,,,,,,,,
Carcep,Cardinium endosymbiont cEper1 of Encarsia pergandiella,1231626,unclassified Candidatus Cardinium,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus Cardinium,Cardinium endosymbiont of Encarsia pergandiella,1231626,Bacteroidetes/Chlorobi group,,,,,,,Cardinium endosymbiont cEper1 of Encarsia pergandiella,,,,,
Carhyd,Carboxydothermus hydrogenoformans Z-2901,246194,cellular organisms,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus,Carboxydothermus hydrogenoformans,246194,Terrabacteria group,Carboxydothermus hydrogenoformans Z-2901,,,,,,,,,,,
Carmal,Carnobacterium maltaromaticum LMA28,1234679,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium maltaromaticum,1234679,Terrabacteria group,Carnobacterium maltaromaticum LMA28,,,,,,,,,,,
Carrud,Candidatus Carsonella ruddii DC,667013,Zymobacter group,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Candidatus Carsonella,Candidatus Carsonella ruddii,667013,,Candidatus Carsonella ruddii DC,,,,,,,,,,,
Cataci,Catenulispora acidiphila DSM 44928,479433,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Catenulisporales,Catenulisporaceae,Catenulispora,Catenulispora acidiphila,479433,Terrabacteria group,Catenulispora acidiphila DSM 44928,,,,,,,,,,,
Caucre,Caulobacter vibrioides CB15,190650,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter vibrioides,190650,,Caulobacter vibrioides CB15,,,,,,,,,,,
Celalg,Cellulophaga algicola DSM 14237,688270,cellular organisms,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga algicola,688270,Bacteroidetes/Chlorobi group,Cellulophaga algicola DSM 14237,,,,,,,,,,,
Celfim,Cellulomonas fimi ATCC 484,590998,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas fimi,590998,Terrabacteria group,Cellulomonas fimi ATCC 484,,,,,,,,,,,
Celjap,Cellvibrio japonicus Ueda107,498211,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio japonicus,498211,,Cellvibrio japonicus Ueda107,,,,,,,,,,,
Censym,Cenarchaeum symbiosum A,414004,cellular organisms,Archaea,Thaumarchaeota,,Cenarchaeales,Cenarchaeaceae,Cenarchaeum,Cenarchaeum symbiosum,414004,TACK group,Cenarchaeum symbiosum A,,,,,,,,,,,
Chapcc,Chamaesiphon minutus PCC 6605,1173020,cellular organisms,Bacteria,Cyanobacteria,,Synechococcales,Chamaesiphonaceae,Chamaesiphon,Chamaesiphon minutus,1173020,Cyanobacteria/Melainabacteria group,Chamaesiphon minutus PCC 6605,,,,,,,,,,,
Chebnc,Chelativorans sp. BNC1,266779,unclassified Chelativorans,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Chelativorans,Chelativorans sp. BNC1,266779,,,,,,,,,,,,,
Chipin,Chitinophaga pinensis DSM 2588,485918,cellular organisms,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga pinensis,485918,Bacteroidetes/Chlorobi group,Chitinophaga pinensis DSM 2588,,,,,,,,,,,
Chlagg,Chloroflexus aggregans DSM 9485,326427,cellular organisms,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus aggregans,326427,Terrabacteria group,Chloroflexus aggregans DSM 9485,,,,Chloroflexineae,,,,,,,
Chlpar,Chlorobaculum parvum NCIB 8327,517417,cellular organisms,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum parvum,517417,Bacteroidetes/Chlorobi group,Chlorobaculum parvum NCIB 8327,,,,,,,,,,,
Chlpne,Chlamydia pneumoniae CWL029,115713,Chlamydia/Chlamydophila group,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia pneumoniae,115713,PVC group,Chlamydia pneumoniae CWL029,,,,,,,,,,,
Chltep,Chlorobium tepidum TLS,194439,cellular organisms,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,Chlorobaculum tepidum,194439,Bacteroidetes/Chlorobi group,Chlorobaculum tepidum TLS,,,,,,,,,,,
Chltha,Chloroherpeton thalassium ATCC 35110,517418,cellular organisms,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chloroherpeton,Chloroherpeton thalassium,517418,Bacteroidetes/Chlorobi group,Chloroherpeton thalassium ATCC 35110,,,,,,,,,,,
Chlthe,Chloracidobacterium thermophilum B,981222,cellular organisms,Bacteria,Acidobacteria,Blastocatellia,,,Chloracidobacterium,Chloracidobacterium thermophilum,981222,,Chloracidobacterium thermophilum B,,,,,,,,,,,
Chltra,Chlamydia trachomatis D/UW-3/CX,272561,Chlamydia/Chlamydophila group,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia trachomatis,272561,PVC group,Chlamydia trachomatis D/UW-3/CX,,,,,,,,,,,
Chrsal,Chromohalobacter salexigens DSM 3043,290398,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Chromohalobacter,Chromohalobacter salexigens,290398,,Chromohalobacter salexigens DSM 3043,,,,,,,,,,,
Chrthe,Chroococcidiopsis thermalis PCC 7203,251229,cellular organisms,Bacteria,Cyanobacteria,,Chroococcidiopsidales,Chroococcidiopsidaceae,Chroococcidiopsis,Chroococcidiopsis thermalis,251229,Cyanobacteria/Melainabacteria group,Chroococcidiopsis thermalis PCC 7203,,,,,,,,,,,
Chrvio,Chromobacterium violaceum ATCC 12472,243365,Chromobacterium group,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,Chromobacterium violaceum,243365,,Chromobacterium violaceum ATCC 12472,,,,,,,,,,,
Chtcal,Chthonomonas calidirosea T49,1303518,cellular organisms,Bacteria,Armatimonadetes,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas,Chthonomonas calidirosea,1303518,Terrabacteria group,Chthonomonas calidirosea T49,,,,,,,,,,,
Citkos,Citrobacter koseri ATCC BAA-895,290338,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter koseri,290338,,Citrobacter koseri ATCC BAA-895,,,,,,,,,,,
Clamic,Clavibacter michiganensis subsp. sepedonicus,31964,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Clavibacter,Clavibacter michiganensis,31964,Terrabacteria group,,Clavibacter michiganensis subsp. sepedonicus,,,,,,,,,,
Cloace,Clostridium acetobutylicum ATCC 824,272562,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium acetobutylicum,272562,Terrabacteria group,Clostridium acetobutylicum ATCC 824,,,,,,,,,,,
Cloaci,Candidatus Cloacimonas acidaminovorans str. Evry,459349,cellular organisms,Bacteria,Candidatus Cloacimonetes,,,,Candidatus Cloacimonas,Candidatus Cloacimonas acidaminovorans,459349,FCB group,Candidatus Cloacimonas acidaminovorans str. Evry,,,,,,,,,,,
Clobut,Clostridium botulinum A str. ATCC 3502,413999,Clostridium botulinum A,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium botulinum,413999,Terrabacteria group,Clostridium botulinum A str. ATCC 3502,,,,,,,,,,,
Clobva,Mageeibacillus indolicus UPII9-5,699246,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Mageeibacillus,Mageeibacillus indolicus,699246,Terrabacteria group,Mageeibacillus indolicus UPII9-5,,,,,,,,,,,
Clodif,Clostridioides difficile 630,272563,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,272563,Terrabacteria group,Clostridioides difficile 630,,,,,,,,,,,
Colfun,Collimonas fungivorans Ter331,1005048,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,Collimonas fungivorans,1005048,,Collimonas fungivorans Ter331,,,,,,,,,,,
Colpsy,Colwellia psychrerythraea 34H,167879,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia psychrerythraea,167879,,Colwellia psychrerythraea 34H,,,,,,,,,,,
Comcr_,Candidatus Symbiobacter mobilis CR,946483,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Candidatus Symbiobacter,Candidatus Symbiobacter mobilis,946483,,Candidatus Symbiobacter mobilis CR,,,,,,,,,,,
Comtes,Comamonas testosteroni TK102,688245,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas testosteroni,688245,,Comamonas testosteroni CNB-2,,,,,,,,,,,
Conwoe,Conexibacter woesei DSM 14684,469383,cellular organisms,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Conexibacter woesei,469383,Terrabacteria group,Conexibacter woesei DSM 14684,,,,,,,,,,,
Copcat,Coprococcus catus GD/7,717962,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus catus,717962,Terrabacteria group,Coprococcus catus GD/7,,,,,,,,,,,
Coppro,Coprothermobacter proteolyticus DSM 5265,309798,cellular organisms,Bacteria,Coprothermobacterota,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae,Coprothermobacter,Coprothermobacter proteolyticus,309798,,Coprothermobacter proteolyticus DSM 5265,,,,,,,,,,,
Coraka,Coraliomargarita akajimensis DSM 45221,583355,cellular organisms,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Coraliomargarita,Coraliomargarita akajimensis,583355,PVC group,Coraliomargarita akajimensis DSM 45221,,,,,,,,,,,
Corcor,Corallococcus coralloides DSM 2259,1144275,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides,1144275,,Corallococcus coralloides DSM 2259,,,delta/epsilon subdivisions,Cystobacterineae,,,,,,,
Corglo,Coriobacterium glomerans PW2,700015,cellular organisms,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Coriobacterium,Coriobacterium glomerans,700015,Terrabacteria group,Coriobacterium glomerans PW2,,,,,,,,,,,
Corglu,Corynebacterium glutamicum ATCC 13032,196627,cellular organisms,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum,196627,Terrabacteria group,Corynebacterium glutamicum ATCC 13032,,,,,,,,,,,
Coxbur,Coxiella burnetii Dugway 5J108-111,434922,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella burnetii,434922,,Coxiella burnetii Dugway 5J108-111,,,,,,,,,,,
Criepi,Crinalium epipsammum PCC 9333,1173022,cellular organisms,Bacteria,Cyanobacteria,,Oscillatoriales,Gomontiellaceae,Crinalium,Crinalium epipsammum,1173022,Cyanobacteria/Melainabacteria group,Crinalium epipsammum PCC 9333,,,,,Oscillatoriophycideae,,,,,,
Croatl,Croceibacter atlanticus HTCC2559,216432,cellular organisms,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,Croceibacter atlanticus,216432,Bacteroidetes/Chlorobi group,Croceibacter atlanticus HTCC2559,,,,,,,,,,,
Crotur,Cronobacter turicensis z3032,693216,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter turicensis,693216,,Cronobacter turicensis z3032,,,,,,,,,,,
Crycur,Cryptobacterium curtum DSM 15641,469378,cellular organisms,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Cryptobacterium,Cryptobacterium curtum,469378,Terrabacteria group,Cryptobacterium curtum DSM 15641,,,,,,,,,,,
Cupnec,Cupriavidus necator N-1,1042878,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus necator,1042878,,Cupriavidus necator N-1,,,,,,,,,,,
Cyagra,Cyanobium gracile PCC 6307,292564,cellular organisms,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Cyanobium,Cyanobium gracile,292564,Cyanobacteria/Melainabacteria group,Cyanobium gracile PCC 6307,,,,,,,,,,,
Cyap01,Gloeothece verrucosa PCC 7822,497965,cellular organisms,Bacteria,Cyanobacteria,,Chroococcales,Aphanothecaceae,Gloeothece,Gloeothece verrucosa,497965,Cyanobacteria/Melainabacteria group,Gloeothece verrucosa PCC 7822,,,,,Oscillatoriophycideae,,,,,,
Cyapcc,Cyanobacterium aponinum PCC 10605,755178,cellular organisms,Bacteria,Cyanobacteria,,Chroococcales,Geminocystaceae,Cyanobacterium,Cyanobacterium aponinum,755178,Cyanobacteria/Melainabacteria group,Cyanobacterium aponinum PCC 10605,,,,,Oscillatoriophycideae,,,,,,
Cycmar,Cyclobacterium marinum DSM 745,880070,cellular organisms,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Cyclobacterium,Cyclobacterium marinum,880070,Bacteroidetes/Chlorobi group,Cyclobacterium marinum DSM 745,,,,,,,,,,,
Cyczan,Cycloclasticus zancles 78-ME,1198232,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Cycloclasticus,Cycloclasticus zancles,1198232,,Cycloclasticus zancles 78-ME,,,,,,,,,,,
Cylsta,Cylindrospermum stagnale PCC 7417,56107,cellular organisms,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Cylindrospermum,Cylindrospermum stagnale,56107,Cyanobacteria/Melainabacteria group,Cylindrospermum stagnale PCC 7417,,,,,,,,,,,
Cythut,Cytophaga hutchinsonii ATCC 33406,269798,cellular organisms,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,Cytophaga hutchinsonii,269798,Bacteroidetes/Chlorobi group,Cytophaga hutchinsonii ATCC 33406,,,,,,,,,,,
Dacsal,Dactylococcopsis salina PCC 8305,13035,cellular organisms,Bacteria,Cyanobacteria,,Synechococcales,Synechococcaceae,Dactylococcopsis,Dactylococcopsis salina,13035,Cyanobacteria/Melainabacteria group,Dactylococcopsis salina PCC 8305,,,,,,,,,,,
Decaro,Dechloromonas aromatica RCB,159087,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas aromatica,159087,,Dechloromonas aromatica RCB,,,,,,,,,,,
Decsui,Dechlorosoma suillum PS,640081,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,640081,,Azospira oryzae PS,,,,,,,,,,,
Defdes,Deferribacter desulfuricans SSM1,639282,cellular organisms,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacter,Deferribacter desulfuricans,639282,,Deferribacter desulfuricans SSM1,,,,,,,,,,,
Dehcf_,Dehalobacter sp. CF,1131462,unclassified Dehalobacter,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Dehalobacter,Dehalobacter sp. CF,1131462,Terrabacteria group,,,,,,,,,,,,
Deheth,Dehalococcoides mccartyi 195,243164,cellular organisms,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,Dehalococcoides mccartyi,243164,Terrabacteria group,Dehalococcoides mccartyi 195,,,,,,,,,,,
Dehlyk,Dehalogenimonas lykanthroporepellens BL-DC-9,552811,cellular organisms,Bacteria,Chloroflexi,Dehalococcoidia,,,Dehalogenimonas,Dehalogenimonas lykanthroporepellens,552811,Terrabacteria group,Dehalogenimonas lykanthroporepellens BL-DC-9,,,,,,,,,,,
Deirad,Deinococcus radiodurans R1,243230,cellular organisms,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiodurans,243230,Terrabacteria group,Deinococcus radiodurans R1,,,,,,,,,,,
Delaci,Delftia acidovorans SPH-1,398578,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia acidovorans,398578,,Delftia acidovorans SPH-1,,,,,,,,,,,
Denace,Denitrovibrio acetiphilus DSM 12809,522772,cellular organisms,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Denitrovibrio,Denitrovibrio acetiphilus,522772,,Denitrovibrio acetiphilus DSM 12809,,,,,,,,,,,
Desa01,Desulfurivibrio alkaliphilus AHT 2,589865,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfurivibrio,Desulfurivibrio alkaliphilus,589865,,Desulfurivibrio alkaliphilus AHT 2,,,delta/epsilon subdivisions,,,,,,,,
Desace,Desulfobacca acetoxidans DSM 11109,880072,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfobacca,Desulfobacca acetoxidans,880072,,Desulfobacca acetoxidans DSM 11109,,,delta/epsilon subdivisions,,,,,,,,
Desalk,Desulfatibacillum alkenivorans DSM 16219,439235,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatibacillum,Desulfatibacillum alkenivorans,439235,,Desulfatibacillum alkenivorans AK-01,,,delta/epsilon subdivisions,,,,,,,,
Desaud,Candidatus Desulforudis audaxviator MP104C,477974,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Candidatus Desulforudis,Candidatus Desulforudis audaxviator,477974,Terrabacteria group,Candidatus Desulforudis audaxviator MP104C,,,,,,,,,,,
Desaut,Desulfobacterium autotrophicum HRM2,177437,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacterium,Desulfobacterium autotrophicum,177437,,Desulfobacterium autotrophicum HRM2,,,delta/epsilon subdivisions,,,,,,,,
Desbaa,Desulfarculus baarsii DSM 2075,644282,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfarculus,Desulfarculus baarsii,644282,,Desulfarculus baarsii DSM 2075,,,delta/epsilon subdivisions,,,,,,,,
Desbac,Desulfomicrobium baculatum DSM 4028,525897,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,Desulfomicrobium baculatum,525897,,Desulfomicrobium baculatum DSM 4028,,,delta/epsilon subdivisions,,,,,,,,
Desgib,Desulfotomaculum gibsoniae DSM 7213,767817,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Desulfallas,Desulfallas gibsoniae,767817,Terrabacteria group,Desulfallas gibsoniae DSM 7213,,,,,,,,,,,
Deshaf,Desulfitobacterium hafniense Y51,138119,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Desulfitobacterium,Desulfitobacterium hafniense,138119,Terrabacteria group,Desulfitobacterium hafniense Y51,,,,,,,,,,,
Desind,Desulfurispirillum indicum S5,653733,cellular organisms,Bacteria,Chrysiogenetes,Chrysiogenetes,Chrysiogenales,Chrysiogenaceae,Desulfurispirillum,Desulfurispirillum indicum,653733,,Desulfurispirillum indicum S5,,,,,,,,,,,
Deskam,Desulfurococcus amylolyticus 1221n,490899,cellular organisms,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,490899,TACK group,Desulfurococcus amylolyticus 1221n,,,,,,,,,,,
Desole,Desulfococcus oleovorans Hxd3,96561,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,Desulfococcus oleovorans,96561,,Desulfococcus oleovorans Hxd3,,,delta/epsilon subdivisions,,,,,,,,
Desori,Desulfosporosinus orientis DSM 765,768706,cellular organisms,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Desulfosporosinus,Desulfosporosinus orientis,768706,Terrabacteria group,Desulfosporosinus orientis DSM 765,,,,,,,,,,,
Despro,Desulfobulbus propionicus DSM 2032,577650,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,Desulfobulbus propionicus,577650,,Desulfobulbus propionicus DSM 2032,,,delta/epsilon subdivisions,,,,,,,,
Despsy,Desulfotalea psychrophila LSv54,177439,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea,Desulfotalea psychrophila,177439,,Desulfotalea psychrophila LSv54,,,delta/epsilon subdivisions,,,,,,,,
Desret,Desulfohalobium retbaense DSM 5692,485915,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobium,Desulfohalobium retbaense,485915,,Desulfohalobium retbaense DSM 5692,,,delta/epsilon subdivisions,,,,,,,,
Dessul,Desulfocapsa sulfexigens DSM 10523,1167006,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa,Desulfocapsa sulfexigens,1167006,,Desulfocapsa sulfexigens DSM 10523,,,delta/epsilon subdivisions,,,,,,,,
Desthe,Desulfurobacterium thermolithotrophum DSM 11699,868864,cellular organisms,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,Desulfurobacterium thermolithotrophum,868864,,Desulfurobacterium thermolithotrophum DSM 11699,,,,,,,,,,,
Destie,Desulfomonile tiedjei DSM 6799,706587,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfomonile,Desulfomonile tiedjei,706587,,Desulfomonile tiedjei DSM 6799,,,delta/epsilon subdivisions,,,,,,,,
Destol,Desulfobacula toluolica Tol2,651182,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,Desulfobacula toluolica,651182,,Desulfobacula toluolica Tol2,,,delta/epsilon subdivisions,,,,,,,,
Desvul,Desulfovibrio vulgaris str. Hildenborough,882,cellular organisms,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio vulgaris,882,,Desulfovibrio vulgaris str. Hildenborough,,,delta/epsilon subdivisions,,,,,,,,
Dicdad,Dickeya dadantii 3937,198628,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya,Dickeya dadantii,198628,,Dickeya dadantii 3937,,,,,,,,,,,
